Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-12-28,38.73,38.73,38.45,38.59,8807745.0,0.0,1.0,37.05392722167898,37.05392722167898,36.786044453228946,36.91998583745397,8807745.0
2017-12-27,38.54,38.65,38.45,38.56,10543034.0,0.0,1.0,36.87214962880217,36.97738928783612,36.786044453228946,36.891284112262895,10543034.0
2017-12-26,38.55,38.68,38.36,38.48,8186082.0,0.0,1.0,36.88171687053253,37.006091013027195,36.699939277655716,36.814746178420016,8186082.0
2017-12-22,38.52,38.74,38.47,38.55,11441622.0,0.0,1.0,36.85301514534146,37.06349446340935,36.805178936689664,36.88171687053253,11441622.0
2017-12-21,38.88,38.995,38.49,38.53,16387522.0,0.0,1.0,37.19743584763437,37.30745912753349,36.82431342015038,36.86258238707182,16387522.0
2017-12-20,38.49,38.8,38.21,38.74,18939533.0,0.0,1.0,36.82431342015038,37.120897913791495,36.55643065170034,37.06349446340935,18939533.0
2017-12-19,38.66,38.86,38.28,38.3,19695238.0,0.0,1.0,36.98695652956647,37.17830136417365,36.62340134381285,36.64253582727356,19695238.0
2017-12-18,38.48,38.89,38.3,38.48,21591404.0,0.0,1.0,36.814746178420016,37.207003089364726,36.64253582727356,36.814746178420016,21591404.0
2017-12-15,38.01,38.28,37.7,38.19,47167680.0,0.0,1.0,36.36508581709316,36.62340134381285,36.06850132345205,36.53729616823962,47167680.0
2017-12-14,38.2,38.27,37.855,37.9,16738342.0,0.0,1.0,36.54686340996998,36.61383410208249,36.2167935702726,36.25984615805922,16738342.0
2017-12-13,38.09,38.37,38.0,38.15,20199475.0,0.0,1.0,36.44162375093604,36.709506519386075,36.35551857536281,36.499027201318185,20199475.0
2017-12-12,37.79,38.1,37.56,37.91,16658592.0,0.0,1.0,36.15460649902528,36.4511909926664,35.93455993922703,36.26941339978958,16658592.0
2017-12-11,37.59,38.04,37.57,37.96,16749521.0,0.0,1.0,35.963261664418106,36.39378754228424,35.94412718095739,36.31724960844137,16749521.0
2017-12-08,37.59,37.69,37.42,37.61,14044372.0,0.0,1.0,35.963261664418106,36.05893408172169,35.80061855500201,35.982396147878816,14044372.0
2017-12-07,37.26,37.78,37.26,37.4,17091998.0,0.0,1.0,35.64754268731627,36.14503925729492,35.64754268731627,35.781484071541286,17091998.0
2017-12-06,37.37,37.72,37.25,37.41,16581847.0,0.0,1.0,35.75278234635021,36.087635806912765,35.63797544558591,35.791051313271645,16581847.0
2017-12-05,37.74,37.82,37.17,37.31,23288151.0,0.0,1.0,36.10677029037348,36.183308224216354,35.561437511743044,35.69537889596806,23288151.0
2017-12-04,37.81,37.99,37.54,37.72,29414445.0,0.0,1.0,36.173740982485995,36.34595133363245,35.91542545576631,36.087635806912765,29414445.0
2017-12-01,37.09,37.66,36.73,37.6,26920869.0,0.0,1.0,35.48489957790017,36.03023235653061,35.14047887560726,35.972828906148465,26920869.0
2017-11-30,37.62,37.8,37.3,37.3,30749464.0,0.0,1.0,35.991963389609175,36.16417374075563,35.685811654237696,35.685811654237696,30749464.0
